id,title,typeSort,typeTrue1,link,description1,dateTrue1,dateSort,date,primaryImage,filename1,Movement,Movement2,Movement3
edanmdm-nmaahc_2010.55.27,International Pamphlets No. 18: The American Negro,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.27,A pamphlet titled International Pamphlets No. 18. The front cover features white text on a black background. The interior consists of thirty-one pages of text. The back of the pamphlet has an advertisement for International Publishers.,1932,1932,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_27_001&max=300,NMAAHC-2010_55_27_001.jpg,,,
edanmdm-nmaahc_2010.55.39,They Shall Not Die!: Stop the Legal Lynching!: The Story of Scottsboro in Pictures,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.39,"A pamphlet printed on white paper in black ink with the words “They Shall Not Die! / Stop the Legal Lynching! / The Story of Scottsboro in Pictures” printed at the top. The image at center of the cover depicts a black man and a white man chopping down a tree labeled LYNCHING. The date, publisher and illustrator’s name are listed in the bottom left corner of the pamphlet.",1932,1932,1930,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_39_001&max=300,NMAAHC-2010_55_39_001.jpg,Anti-Lynching Movement,,
edanmdm-nmaahc_2010.55.1,Jim Crow in Uniform,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.1,"Black ink on yellowed paper, a drawing of young black men in helmets with guns over their shoulders with the title at the top left.",1940,1940,1860,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_1_001&max=300,NMAAHC-2010_55_1_001.jpg,,,
edanmdm-nmaahc_2011.159.3.12,Pinback button for N.A.A.C.P. Legal Defense Fund anti-lynching campaign,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2011.159.3.12,"A blue and white circular pinback button. The top half reads ""STOP LYNCHING"" in white on blue background; the lower half reads ""N.A.A.C.P. / LEGAL DEFENSE FUND"" in blue on a white background.",1940s,1940,1940,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2011_159_3_12_001&max=300,NMAAHC-2011_159_3_12_001.jpg,Anti-Lynching Movement,,
edanmdm-nmaahc_2013.201.1.23.7,Pinback button for the Black National Political Convention,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.23.7,Black National Political Convention button.,mid 20th century,1940,1940,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_23h_001&max=300,NMAAHC-2013_201_1_23h_001.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2013.201.1.31,Pinback button of the Pan-African flag,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.31,"Round button featuring a red, black, and green stripe.",mid-20th century,1940,1940,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_31_001&max=300,NMAAHC-2013_201_1_31_001.jpg,,,
edanmdm-nmaahc_2010.55.19,Old Jim Crow Has Got to Go!,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.19,"Pamphlet consisting of black and white text on yellowed paper and black margins. Illustrated on the cover a fist has punched through a barrier with labels including ""personage,"" ""lynching,"" ""segregation,"" and ""poll taxes.""",1941,1941,1940,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_19_001&max=300,NMAAHC-2010_55_19_001.jpg,,,
edanmdm-nmaahc_2010.55.7,Lift Every Voice For Victory,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.7,"A pamphlet titled ""Lift Every Voice- For Victory."" The front cover has a black-and-white photograph of a soldier, Joe Louis, pointing a rifle with bayonet at something in the foreground. The title appears above and below in black and white print.",1942,1942,1860,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_7_001&max=300,NMAAHC-2010_55_7_001.jpg,,,
edanmdm-nmaahc_2013.201.1.25,Pinback button promoting black unity,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.25,"Round pin-back button featuring central green image of the continent of Africa. Red type circles Africa and reads, [WE ARE AFRIKANS/WORKING FOR BLACK UNITY].",mid 20th century,1950,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_25_001&max=300,NMAAHC-2013_201_1_25_001.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2013.201.1.26,Pinback button promoting black unity,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.26,"Round pin-back button featuring central green image of the continent of Africa. Red type circles Africa and reads, [WE ARE AFRIKANS/WORKING FOR BLACK UNITY].",mid 20th century,1950,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_26_002&max=300,NMAAHC-2013_201_1_26_002.jpg,,,
edanmdm-nmaahc_2013.201.1.42,"Pinback button which reads ""Respect and Protect the Black Woman""",buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.42,"Round, white pin-back button with black type. Button's message reads, [Respect and Protect the/BLACK/WOMAN].",mid-20th century,1950,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-42B298FB2AA22_5001&max=300,NMAAHC-42B298FB2AA22_5001.jpg,,,
edanmdm-nmaahc_2010.55.12,The Negro People in the Struggle for Peace and Freedom,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.12,A pamphlet written by Benjamin J. Davis. The front cover contains white text on a gray background and a picture of Davis in the bottom left. The interior consists of twenty-three pages of a report to the 15th convention of the communist party. The back cover features an advertisement for New Century Publishers.,1951,1951,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_12_001&max=300,NMAAHC-2010_55_12_001.jpg,,,
edanmdm-nmaahc_2013.201.1.30,Pinback button of the Pan-African flag,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.30,"Round pin-back button featuring a red, black, and green stripe. Etched into metal on back is, [UNION/(illegible) AFL-CIO/SHOP].",after 1955,1955,1990,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_30_001&max=300,NMAAHC-2013_201_1_30_001.jpg,,,
edanmdm-nmaahc_2010.60.1.49,Flyer promoting the second phase of the NCNW's Citizenship Education Project,fliers,Fliers (printed matter),https://nmaahc.si.edu/object/nmaahc_2010.60.1.49,This document is part of a scrapbook that was compiled in 1956 and 1957 by Frances Albrier during her term as president of the San Francisco Chapter of the National Council of Negro Women (NCNW). The scrapbook highlights the Chapter’s efforts to register voters and educate Bay Area residents on the importance of voting as a part of the Citizenship Education Project which was jointly sponsored by the NCNW and the National Urban League.,1956,1956,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_60_1_49_001&max=300,NMAAHC-2010_60_1_49_001.jpg,,,
edanmdm-nmaahc_2010.60.1.56.1,Flyer promoting the Citizenship Education Project,fliers,Fliers (printed matter),https://nmaahc.si.edu/object/nmaahc_2010.60.1.56.1,This document is part of a scrapbook that was compiled in 1956 and 1957 by Frances Albrier during her term as president of the San Francisco Chapter of the National Council of Negro Women (NCNW). The scrapbook highlights the Chapter’s efforts to register voters and educate Bay Area residents on the importance of voting as a part of the Citizenship Education Project which was jointly sponsored by the NCNW and the National Urban League.,1956,1956,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_60_1_56_1_001&max=300,NMAAHC-2010_60_1_56_1_001.jpg,,,
edanmdm-nmaahc_2013.46.13.3,Mimeograph sheet with segregationist language,fliers,Mimeograph copies,https://nmaahc.si.edu/object/nmaahc_2013.46.13.3,"Small mimeographed flyer. Black ink on soiled white paper. It features a drawing of Little Rock Central High School and the text [CENTRAL HIGH REFORMATORY / BROTHERHOOD BY SUSPENSION! / SCHOOL OF ONE BLOSSOM, AND IT’S A / DAISY] Discolored throughout. Edge wear throughout, with tears and loss. Two small holes at bottom right.",1957-1959,1957,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_46_13_3_001&max=300,NMAAHC-2013_46_13_3_001.jpg,,,
edanmdm-nmaahc_2017.14.11,"Flier for ""Prayer Pilgrimage for Freedom"" meeting at Enon Baptist Church",fliers,Ephemera,https://nmaahc.si.edu/object/nmaahc_2017.14.11,"Flier for a meeting in Baltimore for the “Prayer Pilgrimage for Freedom.” The yellowed flier has black printed text. The top of the flier reads [ON TO WASHINGTON - / JOIN THE / PRAYER PILGRIMAGE FOR FREEDOM / to WASHINGTON, D.C. MAY 17th, 1957]. Larger text below a line break reads [MASS MEETING / Tuesday, May 14, - 8 p.m.]. The location for the meeting is listed as Enon Baptist Church where attendees will [Hear the National Director, Dr. Thomas Kilgore Jr. / of New York City and Dr. David Licorish.] There is contact information for Rev. Luke G. Reynolds and Rev. Theodore Jackson. There are four (4) churches listed at the bottom where busses will depart for Washington, D.C. The round trip fare is $1.25. Printer information for [Wells Printers, 601-03 Dolphin Street, VErnon [sic]] is in small text at the bottom. The back is blank.",1957,1957,1970,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2017_14_11_001&max=300,NMAAHC-2017_14_11_001.jpg,Black Lives Matter,,
edanmdm-nmaahc_2010.55.25.1-.2,The Cruel and Unusual Punishment of Henry Winston,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.25.1-.2,Pamphlet consisting of black print on yellowed paper. At the top and center left is a black-and-white photograph of Henry Winston. The interior consists of twenty-three pages. The back of the pamphlet has an appeal for the reader to appeal to political action.,1958-1961,1958,2020,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_25_2_001&max=300,NMAAHC-2010_55_25_2_001.jpg,,,
edanmdm-nmaahc_2012.46.28,Sign about the integration of the Detroit Tigers,posters,Posters,https://nmaahc.si.edu/object/nmaahc_2012.46.28,"A large red and black hand-painted sign on paper mounted to a large piece of cardboard, with the message: [Mr. Rogell The Tigers Arent All White Anymore!].",1958,1958,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2012_46_28_001&max=300,NMAAHC-2012_46_28_001.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2013.201.1.33,Pinback button promoting All-African People's Revolutionary Party,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.33,"Round pin-back button featuring a black outline of Africa set against a yellow background. Yellow type appears within the Africa outline and reads, [ONE/UNIFIED/SOCIALIST/AFRICA]. Black type appears against a red circular border and reads, [ALL AFRICAN PEOPLES/REVOLUTIONARY PARTY].",after 1958,1958,1990,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_33_001&max=300,NMAAHC-2013_201_1_33_001.jpg,,,
edanmdm-nmaahc_2013.201.1.34,Pinback button promoting All-African People's Revolutionary Party,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.34,"Round pin-back button featuring black silhouette of Africa set against a white background. At the center of the Africa silhouette is white type that reads, [ONE/UNIFIED/SOCIALIST/AFRICA]. Black type circles the center image of Africa and reads, [ALL-AFRICAN PEOPLE'S/REVOLUTIONARY PARTY].",after 1958,1958,1990,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_34_001&max=300,NMAAHC-2013_201_1_34_001.jpg,,,
edanmdm-nmaahc_2013.46.13.1,Flier with segregationist voting guide,fliers,Fliers (printed matter),https://nmaahc.si.edu/object/nmaahc_2013.46.13.1,"Small printed flyer. Black text on white paper. It reads [IF YOU WANT TO KEEP / OUR SCHOOLS SEGREGATED / VOTE / FOR REMOVAL / OF LAMB / MATSON / TUCKER / AGAINST REMOVAL / OF LASTER / McKINLEY / ROWLAND / THE MOTHER' LEAGUE / P.O. Box 3321 / Little Rock, Arkansas].",1959,1959,1970,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_46_13_1_001&max=300,NMAAHC-2013_46_13_1_001.jpg,Black Power (Black Pride),,
edanmdm-nmaahc_2013.46.13.2,Political card antagonizing candidates favoring integration,other,Christmas cards,https://nmaahc.si.edu/object/nmaahc_2013.46.13.2,"White card with black printed text aligned at the center. Names are in bold. It reads [DAISY has a little LAMB / Whose face is white as snow, / Everywhere DAISY goes, / LAMB, TUCKER, and MATSON / are sure to go.]",1959,1959,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_46_13_2_001&max=300,NMAAHC-2013_46_13_2_001.jpg,,,
edanmdm-nmaahc_2010.77.2,Pinback button featuring Abraham Lincoln and Frederick Douglass,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2010.77.2,A round pinback button featuring a black-and-white photographic portrait of Abraham Lincoln on the proper left and a black-and-white photographic portrait of Frederick Douglass on the proper right. The portraits are in the center against a cream background. A gold colored border surrounds the outside edge of the button with bands of blue with white stars at the top and bottom center and bands of white with red stripes at the right and left center.,1960s,1960,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_77_2_001&max=300,NMAAHC-2010_77_2_001.jpg,,,
edanmdm-nmaahc_2017.88.3,Pinback button for Kennedy - Johnson 1960 presidential campaign,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2017.88.3,"A 1960 presidential campaign pinback button for John F. Kennedy and running mate Lyndon B. Johnson. Kennedy ran as a candidate of the Democratic Party. The button is red, white, and blue. In the central white, elliptical-shaped band is a black-and-white graphic of Kennedy and Johnson depicted side-by-side, from the shoulders up, and facing the viewer. Both men are smiling. The red band above the white band has white text that reads, [NEW / LEADERSHIP]. The blue band below the white band has white text that reads, [KENNEDY / JOHNSON]. There are three union labels and the name of the manufacturer printed along the rounded back edges of the button. The back of the button is silver toned with a brass pin.",1960,1960,1970,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2017_88_3_001&max=300,NMAAHC-2017_88_3_001.jpg,,,
edanmdm-nmaahc_2017.88.4,Folding tab button for Kennedy - Johnson 1960 presidential campaign,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2017.88.4,"A 1960 presidential campaign folding tab, metal button for John F. Kennedy and running mate Lyndon B. Johnson. Kennedy ran as a candidate of the Democratic Party. The button has red, white, and blue horizontal bands. The central white band has blue text that reads, [KENNEDY / and / JOHNSON]. Two (2), white five pointed stars are printed in the red and blue bands above and below the candidates’ names. The folding portion of the button is white and has the manufacturer’s information, union information and logos printed in blue. There are three union labels and the name of the manufacturer printed on the folding tab of the button. The back of the button is silver toned.",1960,1960,1950,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2017_88_4_001&max=300,NMAAHC-2017_88_4_001.jpg,,,
edanmdm-nmaahc_2010.71.10,"Bumper sticker with the slogan One Man, One Vote",other,Bumper stickers,https://nmaahc.si.edu/object/nmaahc_2010.71.10,A blue bumper sticker with green and white print. Vertical text down the left side reads: [SNCC]. Text moving from left to right along the sticker reads: [ONE MAN x ONE VOTE].,1962 - 1965,1962,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_71_10_001&max=300,NMAAHC-2010_71_10_001.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2010.45.3,March on Washington for Jobs and Freedom: Organizing Manual No. 2,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.45.3,"A pamphlet, black print on yellowed paper. The text reads: [Final Plans for the MARCH ON WASHINGTON FOR JOBS AND FREEDOM].",1963,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_45_3_front&max=300,NMAAHC-2010_45_3_front.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2010.45.5,"""Liberator"" broadside advertising a bus trip to the 1963 March on Washington",other,Broadsides (notices),https://nmaahc.si.edu/object/nmaahc_2010.45.5,"Blue print on yellowed paper. At center, a drawing of a bus. The text reads, ""RIDE WITH THE LIBERATOR IN THE MARCH ON WASHINGTON WEDNESDAY AUGUST 28, 1963.""",1963,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_45_5&max=300,NMAAHC-2010_45_5.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2012.159.10,Pinback button for the 1963 March on Washington,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2012.159.10,"A white pin-back button with black text. Around the edges of the front, on the top and bottom, is text surrounding more inner text. Inside the outside circle of text is the date for the March on Washington in 1963. [EMANCIPATION MARCH / AUGUST / 28 / 1963 / ON WASHINGTON]. On the reverse is a rectangular sticker with text [MLK I / HAVE A / DREAM / 912].",1963,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2012_159_10_001&max=300,NMAAHC-2012_159_10_001.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2012.159.4,Pinback button for the 1963 Freedom March,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2012.159.4,"A white button with black text. A horizontal line runs across the bottom third of the button face separating text. Around the upper two-thirds of the button is text in an arc framing the text centered below. The text reads: [WASHINGTON D. C. FREEDOM MARCH / AUG. 28, 1963 / UNITED CIVIL RIGHTS / ORGANIZATIONS OF / AMERICA / FOR FREEDOM / ""ALL, HERE AND NOW""]. On the reverse is a rectangular, white sticker with penned text [rare / 4783] and a pin without a fastener.",1963,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2012_159_4_001&max=300,NMAAHC-2012_159_4_001.jpg,Civil Rights Movement,March on Washington for Jobs and Freedom,
edanmdm-nmaahc_2012.159.5,Pinback button for the 1963 Freedom March,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2012.159.5,"A white pin back button with blue text. In the upper third half of the button, in the middle, is a graphic of the dome of the United States Capitol. Around the outside edge of the face is text on the top and bottom, curving with the edges. The text reads: [NATIONAL MARCH FOR FREEDOM / I WAS THERE / AUG. 28, 1963 / WASHINGTON, D. C.]. On the reverse are two small white stickers with the numbers [200] and [4635] respectively and a pin with a fastener.",1963,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2012_159_5_001&max=300,NMAAHC-2012_159_5_001.jpg,Civil Rights Movement,March on Washington for Jobs and Freedom,
edanmdm-nmaahc_2013.187.2,Program from the March on Washington,other,Programs (documents),https://nmaahc.si.edu/object/nmaahc_2013.187.2,"Program from the March on Washington for Jobs and Freedom at the Lincoln Memorial. The program is a single page folded in half to create a booklet. The top of the front page has the march title and date in large black letters underlined by a black decorative border. It reads ""MARCH ON WASHINGTON/ FOR JOBS AND FREEDOM/ AUGUST 28, 1963."" Below the line is the program title in large black block print ""LINCOLN MEMORIAL PROGRAM."" Below the program title are two columns of text. The column on the left lists the kind of events during the program and the column on the right lists who is participating in the given event and their affiliation. At the bottom center is bold, black text that reads ""WE SHALL OVERCOME.""",28-Aug-63,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_187_2_001&max=300,NMAAHC-2013_187_2_001.jpg,,,
edanmdm-nmaahc_2013.187.4,"Placard from March on Washington ""WE DEMAND AN END TO POLICE BRUTALITY NOW""",placards,Placards (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.187.4,"Cardboard placard with an off-white background and red and white lettering. Overall text reads ""We demand an end to police brutality now!"" In the upper portion of the placard is a large red swath of color with white text within that reads “WE/ DEMAND."" Below is red lettering in a font that mimics handwritten text that reads ""AN END/ TO/ POLICE/ BRUTALITY/ NOW!"" All the text is centered down the middle.",28-Aug-63,1963,1960,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_187_4_001&max=300,NMAAHC-2013_187_4_001.jpg,Civil Rights Movement,,
edanmdm-nmaahc_2013.201.1.23.2,"Pinback button for a national holiday for Martin Luther King, Jr.",buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2013.201.1.23.2,"Pinback button promoting April 4 as a national holiday honoring Dr. Martin Luther King, Jr.",mid-20th century,1963,1940,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_201_1_23b_001&max=300,NMAAHC-2013_201_1_23b_001.jpg,,,
edanmdm-nmaahc_2016.90.6,Pennant from The March on Washington for Jobs and Freedom,other,Pennants,https://nmaahc.si.edu/object/nmaahc_2016.90.6,"A paper pennant from The March on Washington for Jobs and Freedom, August 28, 1963. The pennant is triangular in shape with a red, white and blue American flag design. The left side of the pennant is a blue, trapezoidal-shaped field with white block text that reads, [We Shall Overcome] printed vertically. The text is bordered by a box of white, five-pointed stars. The field on the right is red and white striped triangle with blue text in varying fonts that reads, [I MARCHED / FOR EQUALITY IN THE / FREEDOM PARADE / AUGUST 28, 1963 / WASHINGTON, D.C.] above two blue stars. There is an inscription in pencil on the back of the pennant.",28-Aug-63,1963,2010,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2016_90_6_001&max=300,NMAAHC-2016_90_6_001.jpg,Black Lives Matter,,
edanmdm-nmaahc_2017.6,Pennant from the March on Washington carried by Edith Lee-Payne,other,Pennants,https://nmaahc.si.edu/object/nmaahc_2017.6,"This white felt pennant is sewn and stapled to a black cloth over a board. The pennant has black lettering that says [MARCH ON WASHINGTON / FOR JOBS AND FREEDOM / AUGUST 28, 1963]. There is an image of the Lincoln Memorial with the words [I WAS THERE] above and [LINCOLN MEMORIAL] below the graphic. Below this is an image of two hands joined in a handshake. On the left edge of the pennant is a black strip of cloth sewn with white thread to the pennant. The pennant has some noticeable smoke stains on the white felt. The reverse of the board is blank.",1963,1963,2010,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2017_6_001&max=300,NMAAHC-2017_6_001.jpg,Black Lives Matter,,
